"name","solvedCount","contestId","index"
"Rational Resistance","5344","343","A"
"Alternating Current","8598","343","B"
"Read Time","2198","343","C"
"Water Tree","5234","343","D"
"Pumping Stations","692","343","E"
"Magnets","106017","344","A"
"Simple Molecules","7963","344","B"
"Rational Resistance","3039","344","C"
"Alternating Current","2168","344","D"
"Read Time","566","344","E"
"Expecting Trouble","258","345","A"
"Triskaidekaphobia","70","345","B"
"Counting Fridays","67","345","C"
"Chain Letter","37","345","D"
"Black Cat Rush","1","345","E"
"Superstitions Inspection","1","345","F"
"Suffix Subgroup","2","345","G"
"Xenia and Divisors","11388","342","A"
"Xenia and Spies","3821","342","B"
"Cupboard and Balloons","1681","342","C"
"Xenia and Dominoes","462","342","D"
"Xenia and Tree","7242","342","E"
"Tourist Problem","947","341","A"
"Bubble Sort Graph","1206","341","B"
"Iahub and Permutations","787","341","C"
"Iahub and Xors","1104","341","D"
"Candies Game","419","341","E"
"The Wall","6762","340","A"
"Maximal Area Quadrilateral","1828","340","B"
"Tourist Problem","3070","340","C"
"Bubble Sort Graph","5014","340","D"
"Iahub and Permutations","1522","340","E"
"Helpful Maths","192271","339","A"
"Xenia and Ringroad","64938","339","B"
"Xenia and Weights","7990","339","C"
"Xenia and Bit Operations","22565","339","D"
"Three Swaps","533","339","E"
"Quiz","851","338","A"
"Book of Evil","775","338","B"
"Divisor Tree","397","338","C"
"GCD Table","1067","338","D"
"Optimize!","884","338","E"
"Puzzles","72636","337","A"
"Routine Problem","8746","337","B"
"Quiz","3922","337","C"
"Book of Evil","5010","337","D"
"Divisor Tree","602","337","E"
"Vasily the Bear and Triangle","9411","336","A"
"Vasily the Bear and Fly","1128","336","B"
"Vasily the Bear and Sequence","2179","336","C"
"Vasily the Bear and Beautiful Strings","867","336","D"
"Vasily the Bear and Painting Square","110","336","E"
"Banana","25","326","A"
"Palindrome","15","326","B"
"More Reclamation","13","326","C"
"Rectangles and Square","5","326","D"
"Counting Skyscrapers","1","326","E"
"Buy One, Get One Free","0","326","F"
"Banana","1899","335","A"
"Palindrome","1544","335","B"
"More Reclamation","458","335","C"
"Rectangles and Square","261","335","D"
"Counting Skyscrapers","210","335","E"
"Buy One, Get One Free","448","335","F"
"Secrets","2237","333","A"
"Chips","1921","333","B"
"Lucky Tickets","308","333","C"
"Characteristics of Rectangles","1734","333","D"
"Summer Earnings","854","333","E"
"Candy Bags","17195","334","A"
"Eight Point Sets","3242","334","B"
"Secrets","1700","334","C"
"Chips","753","334","D"
"Lucky Tickets","66","334","E"
"Down the Hatch!","3273","332","A"
"Maximum Absurdity","7257","332","B"
"Students' Revenge","830","332","C"
"Theft of Blueprints","344","332","D"
"Binary Key","286","332","E"
"Purification","2774","329","A"
"Biridian Forest","4558","329","B"
"Graph Reconstruction","683","329","C"
"The Evil Temple and the Moving Rocks","356","329","D"
"Evil","166","329","E"
"Cakeminator","24022","330","A"
"Road Construction","14984","330","B"
"Purification","1847","330","C"
"Biridian Forest","1210","330","D"
"Graph Reconstruction","193","330","E"
"Oh Sweet Beaverette","631","331","A1"
"Oh Sweet Beaverette","522","331","A2"
"Shave Beaver!","400","331","B1"
"Shave Beaver!","236","331","B2"
"The Great Julya Calendar","768","331","C1"
"The Great Julya Calendar","43","331","C2"
"The Great Julya Calendar","19","331","C3"
"Escaping on Beaveractor","43","331","D1"
"Escaping on Beaveractor","13","331","D2"
"Escaping on Beaveractor","2","331","D3"
"Deja Vu","0","331","E1"
"Deja Vu","0","331","E2"
"Oh Sweet Beaverette","26","324","A1"
"Oh Sweet Beaverette","25","324","A2"
"Shave Beaver!","22","324","B1"
"Shave Beaver!","19","324","B2"
"The Great Julya Calendar","27","324","C1"
"The Great Julya Calendar","7","324","C2"
"The Great Julya Calendar","5","324","C3"
"Escaping on Beaveractor","6","324","D1"
"Escaping on Beaveractor","2","324","D2"
"Escaping on Beaveractor","0","324","D3"
"Deja Vu","1","324","E1"
"Deja Vu","0","324","E2"
"Square and Rectangles","1735","325","A"
"Stadium and Games","1141","325","B"
"Monsters and Diamonds","315","325","C"
"Reclamation","469","325","D"
"The Red Button","593","325","E"
"IQ Test","1894","328","A"
"Sheldon and Ice Pieces","1159","328","B"
"Flipping Game","38791","327","A"
"Hungry Sequence","18193","327","B"
"Magic Five","2996","327","C"
"Block Tower","2045","327","D"
"Axis Walking","1255","327","E"
"Ciel and Robot","2281","321","A"
"Ciel and Duel","2455","321","B"
"Ciel the Commander","5819","321","C"
"Ciel and Flipboard","527","321","D"
"Ciel and Gondolas","4476","321","E"
"Ciel and Dancing","7455","322","A"
"Ciel and Flowers","10781","322","B"
"Ciel and Robot","1307","322","C"
"Ciel and Duel","440","322","D"
"Ciel the Commander","597","322","E"
"Black-and-White Cube","625","323","A"
"Tournament-graph","367","323","B"
"Two permutations","556","323","C"
"Malek Dance Club","1945","319","A"
"Psychos in a Line","3302","319","B"
"Kalila and Dimna in the Logging Industry","4152","319","C"
"Have You Ever Heard About the Word?","593","319","D"
"Ping-Pong","631","319","E"
"Magic Numbers","32180","320","A"
"Ping-Pong (Easy Version)","6615","320","B"
"Malek Dance Club","801","320","C"
"Psychos in a Line","673","320","D"
"Kalila and Dimna in the Logging Industry","220","320","E"
"Perfect Pair","2567","317","A"
"Ants","1090","317","B"
"Balance","414","317","C"
"Game with Powers","932","317","D"
"Princess and Her Shadow","146","317","E"
"Even Odds","102751","318","A"
"Strings of Power","6657","318","B"
"Perfect Pair","1975","318","C"
"Ants","536","318","D"
"Balance","64","318","E"
"Special Task","1372","316","A1"
"Special Task","1118","316","A2"
"EKG","839","316","B1"
"EKG","803","316","B2"
"Tidying Up","162","316","C1"
"Tidying Up","117","316","C2"
"PE Lesson","137","316","D1"
"PE Lesson","105","316","D2"
"PE Lesson","78","316","D3"
"Summer Homework","891","316","E1"
"Summer Homework","91","316","E2"
"Summer Homework","68","316","E3"
"Suns and Rays","63","316","F1"
"Suns and Rays","55","316","F2"
"Suns and Rays","40","316","F3"
"Good Substrings","516","316","G1"
"Good Substrings","145","316","G2"
"Good Substrings","16","316","G3"
"Sereja and Contest","1204","314","A"
"Sereja and Periods","1155","314","B"
"Sereja and Subsequences","1523","314","C"
"Sereja and Straight Lines","466","314","D"
"Sereja and Squares","369","314","E"
"Sereja and Bottles","10414","315","A"
"Sereja and Array","6544","315","B"
"Sereja and Contest","830","315","C"
"Sereja and Periods","306","315","D"
"Sereja and Subsequences","284","315","E"
"Ilya and Bank Account","49833","313","A"
"Ilya and Queries","37260","313","B"
