"name","solvedCount","contestId","index"
"Division","6408","1444","A"
"Divide and Sum","3395","1444","B"
"Team-Building","1299","1444","C"
"Rectangular Polyline","546","1444","D"
"Finding the Vertex","134","1444","E"
"Array Rearrangment","17781","1445","A"
"Elimination","14969","1445","B"
"Division","6487","1445","C"
"Divide and Sum","2826","1445","D"
"Team-Building","211","1445","E"
"Marketing Scheme","10421","1437","A"
"Reverse Binary Strings","6818","1437","B"
"Chef Monocarp","2628","1437","C"
"Minimal Height Tree","3335","1437","D"
"Make It Increasing","529","1437","E"
"Emotional Fishermen","78","1437","F"
"Death DBMS","55","1437","G"
"Perform Easily","1149","1434","A"
"Shurikens","1172","1434","B"
"Solo mid Oracle","911","1434","C"
"Roads and Ramen","436","1434","D"
"A Convex Game","170","1434","E"
"Finding Sasuke","10014","1435","A"
"A New Technique","7914","1435","B"
"Perform Easily","2553","1435","C"
"Shurikens","2787","1435","D"
"Solo mid Oracle","478","1435","E"
"Finding Sasuke","4425","1413","A"
"A New Technique","3502","1413","B"
"Perform Easily","2028","1413","C"
"Shurikens","2453","1413","D"
"Solo mid Oracle","635","1413","E"
"Roads and Ramen","326","1413","F"
"Reorder","21853","1436","A"
"Prime Square","19777","1436","B"
"Binary Search","10413","1436","C"
"Bandit in a City","5831","1436","D"
"Complicated Computations","2102","1436","E"
"Sum Over Subsets","504","1436","F"
"Boring Apartments","18340","1433","A"
"Yet Another Bookshelf","15489","1433","B"
"Dominant Piranha","12664","1433","C"
"Districts Connection","8205","1433","D"
"Two Round Dances","6813","1433","E"
"Zero Remainder Sum ","832","1433","F"
"Reducing Delivery Cost","557","1433","G"
"XORwice","25837","1421","A"
"Putting Bricks in the Wall","12763","1421","B"
"Palindromifier","12312","1421","C"
"Hexagons","4055","1421","D"
"Swedish Heroes","677","1421","E"
"Box is Pull","15977","1428","A"
"Belted Rooms","13833","1428","B"
"ABBB","18841","1428","C"
"Bouncing Boomerangs","4394","1428","D"
"Carrots for Rabbits","3544","1428","E"
"Fruit Sequences","2181","1428","F"
"Lucky Numbers (Easy Version)","560","1428","G1"
"Lucky Numbers (Hard Version)","621","1428","G2"
"Rotary Laser Lock","101","1428","H"
"Number of Apartments","8740","1430","A"
"Barrels","9091","1430","B"
"Numbers on Whiteboard","7478","1430","C"
"String Deletion","2686","1430","D"
"String Reversal","1345","1430","E"
"Realistic Gameplay","92","1430","F"
"Yet Another DAG Problem","35","1430","G"
"Avoiding Zero","16631","1427","A"
"Chess Cheater","10633","1427","B"
"The Hard Work of Paparazzi","5462","1427","C"
"Unshuffling a Deck","3382","1427","D"
"Xum","1281","1427","E"
"Boring Card Game","311","1427","F"
"One Billion Shades of Grey","287","1427","G"
"Prison Break","69","1427","H"
"Wakanda Forever","2","1423","A"
"Valuable Paper","258","1423","B"
"Dušan's Railway","5","1423","C"
"Does anyone else hate the wind?","1","1423","D"
"5G Antenna Towers","8","1423","E"
"Coins","42","1423","F"
"Growing flowers","3","1423","G"
"Virus","89","1423","H"
